nom;prenom;telephone;cin;filiere;semestre;email;issueDe;cne
BESSAM;Adam;123;A123;IITE;4eme semestre 2ITE;cd65@gmail.com;2AP;K12345
CHOUAY;Walid;65432;H123;IITE;4eme semestre 2ITE;nadir@gmail.com;2AP;L67890
DAOUDI;Mohamme;76543;I123;IITE;4eme semestre 2ITE;zeroual@gmail.com;2AP;M67891
EDDERSSI;Youssef;87654;J123;IITE;4eme semestre 2ITE;hariri@gmail.com;2AP;N67892
BOUNAKLA;Mohammed;98765;K123;IITE;4eme semestre 2ITE;amrani@gmail.com;2AP;O67893
Chegdal;Mohammed;23456;L123;IITE;4eme semestre 2ITE;bekkali@gmail.com;2AP;P67894
FATHNOUR;Mhammed;34567;M123;IITE;4eme semestre 2ITE;ait@gmail.com;2AP;Q67895
ELHARCHI;Zakaria;45678;N123;IITE;4eme semestre 2ITE;chraibi@gmail.com;2AP;R67896
BOULKNADEL;Maroua;56789;O123;IITE;4eme semestre 2ITE;boussouf@gmail.com;2AP;S67897
Tafnout;Omar;67890;P123;IITE;4eme semestre 2ITE;tafnout@gmail.com;2AP;T67898
Khadir;Sara;78901;Q123;IITE;4eme semestre 2ITE;khadir@gmail.com;2AP;U67899
Mansouri;Mehdi;89012;R123;IITE;4eme semestre 2ITE;mansouri@gmail.com;2AP;V67900
Belhaj;Rachid;90123;S123;IITE;4eme semestre 2ITE;belhaj@gmail.com;2AP;W67901
Fadili;Hicham;123654;T123;IITE;4eme semestre 2ITE;fadili@gmail.com;2AP;X67902
Jaouhari;Leila;234765;U123;IITE;4eme semestre 2ITE;jaouhari@gmail.com;2AP;Y67903
Qabbaj;Samir;345876;V123;IITE;4eme semestre 2ITE;qabbaj@gmail.com;2AP;Z67904
Ouazzani;Zahra;456987;W123;IITE;4eme semestre 2ITE;ouazzani@gmail.com;2AP;AA67905
Benkirane;Amine;567098;X123;IITE;4eme semestre 2ITE;benkirane@gmail.com;2AP;BB67906
Fassi;Lamia;678109;Y123;IITE;4eme semestre 2ITE;fassi@gmail.com;2AP;CC67907
Talbi;Adil;789210;Z123;IITE;4eme semestre 2ITE;talbi@gmail.com;2AP;DD67908
Moutawakil;Sanae;890321;AA123;IITE;4eme semestre 2ITE;moutawakil@gmail.com;2AP;EE67909
ElKarim;Yassine;901234;BB123;IITE;4eme semestre 2ITE;elkarim@gmail.com;2AP;FF67910
Rafiq;Saida;12345;CC123;IITE;4eme semestre 2ITE;rafiq@gmail.com;2AP;GG67911
Jbara;Mostafa;1234567;DD123;IITE;4eme semestre 2ITE;jbara@gmail.com;2AP;HH67912
Mernissi;Hiba;2345678;EE123;IITE;4eme semestre 2ITE;mernissi@gmail.com;2AP;II67913
Idrissi;Khalid;3456789;FF123;IITE;4eme semestre 2ITE;idrissi@gmail.com;2AP;JJ67914
Chakir;Naima;4567890;GG123;IITE;4eme semestre 2ITE;chakir@gmail.com;2AP;KK67915
Lahlou;Omar;5678901;HH123;IITE;4eme semestre 2ITE;lahlou@gmail.com;2AP;LL67916
Bouazza;Rachida;6789012;II123;IITE;4eme semestre 2ITE;bouazza@gmail.com;2AP;MM67917
Chafai;Youssef;7890123;JJ123;IITE;4eme semestre 2ITE;chafai@gmail.com;2AP;NN67918
Benjelloun;Nadia;8901234;KK123;IITE;4eme semestre 2ITE;benjelloun@gmail.com;2AP;OO67919
Cherkaoui;Karim;9012345;LL123;IITE;4eme semestre 2ITE;cherkaoui@gmail.com;2AP;PP67920
Amzil;Leila;123456;MM123;IITE;4eme semestre 2ITE;amzil@gmail.com;2AP;QQ67921
Ghafir;Soufiane;12345678;NN123;IITE;4eme semestre 2ITE;ghafir@gmail.com;2AP;RR67922
ElYacoubi;Sana;23456789;OO123;IITE;4eme semestre 2ITE;elyacoubi@gmail.com;2AP;SS67923
Abbadi;Mehdi;34567890;PP123;IITE;4eme semestre 2ITE;abbadi@gmail.com;2AP;TT67924
Belkhayat;Amal;45678901;QQ123;IITE;4eme semestre 2ITE;belkhayat@gmail.com;2AP;TT8791
