nom;penom;telephone;cin;Filiere;email
Assad;Nourdine;123;A123;IITE;assad@gmail.com
Lachgar;Mohamed;1234;B123;IITE & ISIC;lachgar@gmail.com
Chafik;Baidada;12345;C123;IITE & ISIC;chafik@gmail.com
ElHannani;Asmaae;123456;D123;IITE & ISIC;Assmae@gmail.com
Ouaissa;Mariyam;321;E123;IITE & GEE;ouissa@gmail.com
Silkan;Hassan;4321;F123;IITE & CCN;silkan@gmail.com
Mzili;Toufik;54321;G123;GEE;mzili@gmail.com
Nadir;Karim;65432;H123;GC;nadir@gmail.com
Zeroual;Fatima;76543;I123;IITE & ISIC;zeroual@gmail.com
Hariri;Youssef;87654;J123;IITE & ISIC;hariri@gmail.com
Amrani;Salma;98765;K123;GI & GEE;amrani@gmail.com
Bekkali;Ali;23456;L123;IITE & CCN;bekkali@gmail.com
Ait;Nadia;34567;M123;IITE;ait@gmail.com
Chraibi;Younes;45678;N123;IITE & ISIC;chraibi@gmail.com
Boussouf;Amina;56789;O123;IITE & GEE;boussof@gmail.com
ElKarim;Yassine;901234;BB123;IITE & ISIC;elkarim@gmail.com
Rafiq;Saida;12345;CC123;IITE & GEE;rafiq@gmail.com
Jbara;Mostafa;1234567;DD123;IITE & CCN;jbara@gmail.com
Mernissi;Hiba;2345678;EE123;IITE;mernissi@gmail.com
Idrissi;Khalid;3456789;FF123;IITE & ISIC;idrissi@gmail.com
Chakir;Naima;4567890;GG123;IITE & GEE;chakir@gmail.com
Lahlou;Omar;5678901;HH123;IITE & CCN;lahlou@gmail.com
Bouazza;Rachida;6789012;II123;IITE;bouazza@gmail.com
Chafai;Youssef;7890123;JJ123;IITE & ISIC;chafai@gmail.com
Benjelloun;Nadia;8901234;KK123;IITE & GEE;benjelloun@gmail.com
Cherkaoui;Karim;9012345;LL123;IITE & CCN;cherkaoui@gmail.com
Amzil;Leila;123456;MM123;IITE;amzil@gmail.com
Ghafir;Soufiane;12345678;NN123;IITE & ISIC;ghafir@gmail.com
ElYacoubi;Sana;23456789;OO123;IITE & GEE;elyacoubi@gmail.com
Abbadi;Mehdi;34567890;PP123;IITE & CCN;abbadi@gmail.com
Belkhayat;Amal;45678901;QQ123;IITE;belkhayat@gmail.com
Barakat;Younes;56789012;RR123;IITE & ISIC;barakat@gmail.com
Tazi;Mariam;67890123;SS123;IITE & GEE;tazi@gmail.com
Kabbaj;Adil;78901234;TT123;IITE & CCN;kabbaj@gmail.com
Hakam;Sara;89012345;UU123;IITE;hakam@gmail.com
ElMansouri;Rachid;90123456;VV123;IITE & ISIC;elmansouri@gmail.com
Fikri;Hicham;1234567;WW123;IITE & GEE;fikri@gmail.com
Hafidi;Lamia;12345679;XX123;IITE & CCN;hafidi@gmail.com
Bousfiha;Samir;23456780;YY123;IITE;bousfiha@gmail.com
ElMehdi;Omar;34567891;ZZ123;IITE & ISIC;elmehdi@gmail.com
